2024-01-20 17:11:10.391-05:00 | INFO     | metalflare.pdb.utils:keep_lines:81 - Keeping the following record types: ATOM, HETATM, TER, END
2024-01-20 17:20:19.466-05:00 | INFO     | metalflare.pdb.modify.numbering:run_unify_resids:86 - Unify residue IDs from /home/alex/repos/metalflare/study/data/003-rogfp-cu-md/structures/protein/1JC0-Cu.pdb
2024-01-20 17:20:19.466-05:00 | DEBUG    | metalflare.pdb.modify.numbering:assign_resid:33 - Current residue ID is None; must be our first atom.
2024-01-20 17:20:19.470-05:00 | DEBUG    | metalflare.pdb.modify.numbering:run_unify_resids:94 - Encountered 'TER'. Setting parse_structure to False.
2024-01-20 17:20:19.470-05:00 | DEBUG    | metalflare.pdb.modify.numbering:assign_resid:33 - Current residue ID is None; must be our first atom.
2024-01-20 17:20:19.470-05:00 | INFO     | metalflare.pdb.modify.numbering:run_unify_resids:110 - Writing PDB file to /home/alex/repos/metalflare/study/data/003-rogfp-cu-md/structures/protein/1JC0-Cu.pdb
2024-01-20 17:20:29.155-05:00 | INFO     | metalflare.pdb.utils:keep_lines:81 - Keeping the following record types: ATOM, HETATM, TER, END
2024-01-20 17:20:29.430-05:00 | INFO     | metalflare.pdb.modify.numbering:run_unify_resids:86 - Unify residue IDs from /home/alex/repos/metalflare/study/data/003-rogfp-cu-md/structures/protein/1JC0-Cu.pdb
2024-01-20 17:20:29.431-05:00 | DEBUG    | metalflare.pdb.modify.numbering:assign_resid:33 - Current residue ID is None; must be our first atom.
2024-01-20 17:20:29.435-05:00 | DEBUG    | metalflare.pdb.modify.numbering:run_unify_resids:94 - Encountered 'TER'. Setting parse_structure to False.
2024-01-20 17:20:29.435-05:00 | DEBUG    | metalflare.pdb.modify.numbering:assign_resid:33 - Current residue ID is None; must be our first atom.
2024-01-20 17:20:29.435-05:00 | INFO     | metalflare.pdb.modify.numbering:run_unify_resids:110 - Writing PDB file to /home/alex/repos/metalflare/study/data/003-rogfp-cu-md/structures/protein/1JC0-Cu.pdb
2024-01-20 17:20:47.371-05:00 | INFO     | metalflare.pdb.utils:keep_lines:81 - Keeping the following record types: ATOM, HETATM, TER, END
2024-01-20 17:20:47.642-05:00 | INFO     | metalflare.pdb.modify.numbering:run_unify_resids:86 - Unify residue IDs from /home/alex/repos/metalflare/study/data/003-rogfp-cu-md/structures/protein/1JC0-Cu.pdb
2024-01-20 17:20:47.642-05:00 | DEBUG    | metalflare.pdb.modify.numbering:assign_resid:33 - Current residue ID is None; must be our first atom.
2024-01-20 17:20:47.646-05:00 | DEBUG    | metalflare.pdb.modify.numbering:run_unify_resids:94 - Encountered 'TER'. Setting parse_structure to False.
2024-01-20 17:20:47.646-05:00 | DEBUG    | metalflare.pdb.modify.numbering:assign_resid:33 - Current residue ID is None; must be our first atom.
2024-01-20 17:20:47.646-05:00 | INFO     | metalflare.pdb.modify.numbering:run_unify_resids:110 - Writing PDB file to /home/alex/repos/metalflare/study/data/003-rogfp-cu-md/structures/protein/1JC0-Cu.pdb
2024-01-20 17:21:07.627-05:00 | INFO     | metalflare.pdb.utils:keep_lines:81 - Keeping the following record types: ATOM, HETATM, TER, END
2024-01-20 17:21:07.894-05:00 | INFO     | metalflare.pdb.modify.numbering:run_unify_resids:86 - Unify residue IDs from /home/alex/repos/metalflare/study/data/003-rogfp-cu-md/structures/protein/1JC0-Cu.pdb
2024-01-20 17:21:07.894-05:00 | DEBUG    | metalflare.pdb.modify.numbering:assign_resid:33 - Current residue ID is None; must be our first atom.
2024-01-20 17:21:07.898-05:00 | DEBUG    | metalflare.pdb.modify.numbering:run_unify_resids:94 - Encountered 'TER'. Setting parse_structure to False.
2024-01-20 17:21:07.898-05:00 | DEBUG    | metalflare.pdb.modify.numbering:assign_resid:33 - Current residue ID is None; must be our first atom.
2024-01-20 17:21:07.898-05:00 | DEBUG    | metalflare.pdb.modify.numbering:run_unify_resids:94 - Encountered 'TER'. Setting parse_structure to False.
2024-01-20 17:21:07.898-05:00 | DEBUG    | metalflare.pdb.modify.numbering:assign_resid:33 - Current residue ID is None; must be our first atom.
2024-01-20 17:21:07.898-05:00 | INFO     | metalflare.pdb.modify.numbering:run_unify_resids:110 - Writing PDB file to /home/alex/repos/metalflare/study/data/003-rogfp-cu-md/structures/protein/1JC0-Cu.pdb
2024-01-20 18:14:57.455-05:00 | INFO     | metalflare.pdb.modify.numbering:run_unify_resids:86 - Unify residue IDs from /home/alex/repos/metalflare/study/data/003-rogfp-cu-md/structures/protein/1JC0-Cu.pdb
2024-01-20 18:14:57.455-05:00 | DEBUG    | metalflare.pdb.modify.numbering:assign_resid:33 - Current residue ID is None; must be our first atom.
2024-01-20 18:14:57.459-05:00 | INFO     | metalflare.pdb.modify.numbering:run_unify_resids:110 - Writing PDB file to /home/alex/repos/metalflare/study/data/003-rogfp-cu-md/structures/protein/1JC0-Cu.pdb
2024-01-20 18:15:52.754-05:00 | INFO     | metalflare.pdb.modify.numbering:run_unify_resids:86 - Unify residue IDs from /home/alex/repos/metalflare/study/data/003-rogfp-cu-md/structures/protein/1JC0-Cu.pdb
2024-01-20 18:15:52.754-05:00 | DEBUG    | metalflare.pdb.modify.numbering:assign_resid:33 - Current residue ID is None; must be our first atom.
2024-01-20 18:15:52.758-05:00 | INFO     | metalflare.pdb.modify.numbering:run_unify_resids:110 - Writing PDB file to /home/alex/repos/metalflare/study/data/003-rogfp-cu-md/structures/protein/1JC0-Cu.pdb
2024-01-20 18:16:15.298-05:00 | INFO     | metalflare.pdb.modify.numbering:run_unify_resids:86 - Unify residue IDs from /home/alex/repos/metalflare/study/data/003-rogfp-cu-md/structures/protein/1JC0-Cu.pdb
2024-01-20 18:16:15.299-05:00 | DEBUG    | metalflare.pdb.modify.numbering:assign_resid:33 - Current residue ID is None; must be our first atom.
2024-01-20 18:16:15.303-05:00 | INFO     | metalflare.pdb.modify.numbering:run_unify_resids:110 - Writing PDB file to /home/alex/repos/metalflare/study/data/003-rogfp-cu-md/structures/protein/1JC0-Cu.pdb
2024-01-20 18:17:30.529-05:00 | INFO     | metalflare.pdb.utils:keep_lines:81 - Keeping the following record types: ATOM, HETATM, TER, END
2024-01-20 18:17:30.787-05:00 | INFO     | metalflare.pdb.modify.numbering:run_unify_resids:86 - Unify residue IDs from /home/alex/repos/metalflare/study/data/003-rogfp-cu-md/structures/protein/1JC0-Cu.pdb
2024-01-20 18:17:30.788-05:00 | DEBUG    | metalflare.pdb.modify.numbering:assign_resid:33 - Current residue ID is None; must be our first atom.
2024-01-20 18:17:30.791-05:00 | DEBUG    | metalflare.pdb.modify.numbering:run_unify_resids:94 - Encountered 'TER'. Setting parse_structure to False.
2024-01-20 18:17:30.791-05:00 | DEBUG    | metalflare.pdb.modify.numbering:assign_resid:33 - Current residue ID is None; must be our first atom.
2024-01-20 18:17:30.791-05:00 | INFO     | metalflare.pdb.modify.numbering:run_unify_resids:110 - Writing PDB file to /home/alex/repos/metalflare/study/data/003-rogfp-cu-md/structures/protein/1JC0-Cu.pdb
2024-01-20 18:34:46.458-05:00 | INFO     | metalflare.pdb.modify.numbering:run_unify_resids:86 - Unify residue IDs from /home/alex/repos/metalflare/study/data/003-rogfp-cu-md/structures/protein/1JC0-Cu.pdb
2024-01-20 18:34:46.459-05:00 | DEBUG    | metalflare.pdb.modify.numbering:assign_resid:33 - Current residue ID is None; must be our first atom.
2024-01-20 18:34:46.463-05:00 | INFO     | metalflare.pdb.modify.numbering:run_unify_resids:110 - Writing PDB file to /home/alex/repos/metalflare/study/data/003-rogfp-cu-md/structures/protein/1JC0-Cu.pdb
2024-01-20 18:35:04.980-05:00 | INFO     | metalflare.pdb.modify.numbering:run_unify_resids:86 - Unify residue IDs from /home/alex/repos/metalflare/study/data/003-rogfp-cu-md/structures/protein/1JC0-Cu.pdb
2024-01-20 18:35:04.981-05:00 | DEBUG    | metalflare.pdb.modify.numbering:assign_resid:33 - Current residue ID is None; must be our first atom.
2024-01-20 18:35:04.985-05:00 | INFO     | metalflare.pdb.modify.numbering:run_unify_resids:110 - Writing PDB file to /home/alex/repos/metalflare/study/data/003-rogfp-cu-md/structures/protein/1JC0-Cu.pdb
2024-01-20 18:36:04.447-05:00 | INFO     | metalflare.pdb.utils:keep_lines:81 - Keeping the following record types: ATOM, HETATM, TER, END
2024-01-20 18:36:04.711-05:00 | INFO     | metalflare.pdb.modify.numbering:run_unify_resids:86 - Unify residue IDs from /home/alex/repos/metalflare/study/data/003-rogfp-cu-md/structures/protein/1JC0-Cu.pdb
2024-01-20 18:36:04.711-05:00 | DEBUG    | metalflare.pdb.modify.numbering:assign_resid:33 - Current residue ID is None; must be our first atom.
2024-01-20 18:36:04.714-05:00 | DEBUG    | metalflare.pdb.modify.numbering:run_unify_resids:94 - Encountered 'TER'. Setting parse_structure to False.
2024-01-20 18:36:04.714-05:00 | DEBUG    | metalflare.pdb.modify.numbering:assign_resid:33 - Current residue ID is None; must be our first atom.
2024-01-20 18:36:04.715-05:00 | DEBUG    | metalflare.pdb.modify.numbering:run_unify_resids:94 - Encountered 'TER'. Setting parse_structure to False.
2024-01-20 18:36:04.715-05:00 | DEBUG    | metalflare.pdb.modify.numbering:assign_resid:33 - Current residue ID is None; must be our first atom.
2024-01-20 18:36:04.715-05:00 | INFO     | metalflare.pdb.modify.numbering:run_unify_resids:110 - Writing PDB file to /home/alex/repos/metalflare/study/data/003-rogfp-cu-md/structures/protein/1JC0-Cu.pdb
